airport_code,airport_name,latitude,longitude
AMG,Amboin Airport,-4.6,143.5
AMH,Arba Minch Airport,6.03944444,37.59083333
AMI,Selaparang,-8.56083333,116.0947222
AMK,Animas Air Park,37.20305556,-107.8691667
AML,Puerto Armuelles Airport,8.2675,-82.86472222
AMM,Queen Alia International,31.72333333,35.99416667
AMN,Gratiot Community,43.32222222,-84.68805556
AMO,Mao Airport,14.14638889,15.31527778
AMP,Ampanihy Airport,-24.69944444,44.73277778
AMQ,Pattimura,-3.71027778,128.0897222
AMS,Schiphol,52.30861111,4.76388889
AMW,Ames Municipal,41.99194444,-93.62194444
AMX,Ammaroo Station,-21.74,135.24
AMY,Ambatomainty Airport,-17.68611111,45.625
ANA,Anaheim-Disneyland HP,33.81666667,-117.9333333
ANB,Anniston Regional,33.58805556,-85.85805556
ANC,Ted Stevens Anchorage International,61.17416667,-149.9980556
AND,Anderson Regional,34.49444444,-82.70944444
ANE,Angers Marce,47.56027778,-0.31277778
ANF,Cerro Moreno International,-23.44444444,-70.445
ANG,Angouleme Brie Champniers,45.72944444,0.21833333
ANI,Aniak Airport,61.58166667,-159.5430556
ANK,Etimesgut,39.95194444,32.68611111
ANM,Antsirabato,-14.99944444,50.32027778
ANN,Annette Island,55.04222222,-131.5708333
ANO,Angoche Airport,-16.1825,39.94527778
ANP,Lee,38.94277778,-76.56833333
ANR,Deurne,51.18944444,4.46027778
ANS,Andahuaylas Airport,-13.70888889,-73.35138889
ANU,V C Bird International,17.13611111,-61.79388889
ANV,Anvik Airport,62.64722222,-160.19
ANX,Andoya,69.2925,16.14416667
AOH,Lima Allen County,40.70833333,-84.02694444
AOI,Falconara,43.61638889,13.36222222
AOJ,Aomori Airport,40.73333333,140.6886111
AOK,Karpathos Airport,35.42083333,27.14555556
AOL,Paso de Los Libres Airport,-29.68944444,-57.15194444
AOO,Altoona-Blair County,40.29638889,-78.32
AOR,Sultan Abdul Halim,6.18972222,100.3983333
AOS,Amook Bay Airport,57.45472222,-153.8130556
APA,Centennial,39.57,-104.8494444
APB,Apolo Airport,-14.73888889,-68.41111111
APC,Napa County,38.21305556,-122.2805556
APE,San Juan Aposento Airport,-15.35,-75.16666667
APF,Naples Municipal,26.1525,-81.77555556
APG,Phillips AAF,39.46611111,-76.16888889
APK,Apataki Airport,-15.57527778,-146.4130556
APL,Nampula Airport,-15.10555556,39.28166667
APN,Alpena County Regional,45.07805556,-83.56027778
APO,Apartado Airport,7.03333333,-77.2
APR,April River Airport,-4.67361111,142.5377778
APT,Marion County Brown Field,35.06055556,-85.58527778
APV,Apple Valley Airport,34.57527778,-117.1861111
APW,Faleolo International,-13.83,-172.0083333
AQI,Al Qaisumah,28.33527778,46.125
AQJ,Aqaba King Hussein International,29.61111111,35.01777778
AQP,Rodriguez Ballon International,-16.34055556,-71.57083333
AQS,Saqani Airport,-16.75,179.35
AQY,Girdwood Airport,60.96888889,-149.1194444
AR1,Russellville Regional,35.25916667,-93.09333333
AR2,Dennis F Cantrell Field,35.08111111,-92.42444444
ARA,Acadiana Regional,30.03777778,-91.88388889
ARB,Ann Arbor Municipal,42.22305556,-83.74555556
ARC,Arctic Village Airport,68.11472222,-145.5794444
ARD,Arcadia Municipal,-8.25,124.75
ARE,Antonio/Nery/Juarbe Pol,18.45083333,-66.67555556
ARG,Walnut Ridge Regional,36.12472222,-90.925
ARH,Arkhangelsk Airport,64.60027778,40.71666667
ARI,Chacalluta,-18.34861111,-70.33861111
ARK,Arusha Airport,-3.36666667,36.62555556
ARM,Armidale Airport,-30.52805556,151.6172222
ARN,Arlanda,59.65194444,17.91861111
ARP,Aragip Airport,-9.87083333,149.4841667
ARQ,Arauquita Airport,7.02111111,-71.38888889
ARS,Aragarcas Airport,-15.89944444,-52.24111111
ART,Watertown International,43.99194444,-76.02055556
ARU,Aracatuba Airport,-21.14138889,-50.42472222
ARV,Lakeland/Noble F. Lee Memorial Field,45.92805556,-89.73083333
ARW,Arad Airport,46.17666667,21.26194444
ARX,Asbury Park/Monmouth County,40.18333333,-74.11666667
ARY,Ararat Airport,-37.30944444,142.9886111
ARZ,N'zeto Airport,-7.25888889,12.8625
ASA,Assab International,13.07166667,42.645
ASB,Ashgabat Airport,37.98694444,58.36111111
ASC,Ascension Airport,-15.91666667,-63.15
ASD,Fresh Creek,24.69805556,-77.79555556
ASE,Aspen Pitkin County Sardy Field,39.22194444,-106.8683333
ASG,Ashburton Airport,-43.90277778,171.7997222
ASH,Boire Field,42.7825,-71.51416667
ASI,Ascension Aux Af,-7.96972222,-14.39361111
ASJ,Amami,28.43055556,129.7125
ASK,Yamoussoukro Airport,6.90305556,-5.36611111
ASL,Harrison County,32.52055556,-94.30777778
ASM,Asmara International,15.29194444,38.91111111
ASN,Talladega Municipal,33.56944444,-86.05111111
ASO,Asosa Airport,10.02055556,34.58222222
ASP,Alice Springs Airport,-23.80833333,133.9008333
ASQ,Austin Airport,39.46805556,-117.1975
ASR,Kayseri Airport,38.77027778,35.49555556
AST,Astoria Regional,46.15805556,-123.8786111
ASU,Silvio Pettirossi International,-25.24111111,-57.51694444
ASW,Aswan International,23.96444444,32.82
ASX,John F Kennedy Memorial,46.54861111,-90.91888889
ASY,Ashley Municipal,46.02388889,-99.3525
ATA,Anta Huaraz,-9.34722222,-77.6
ATB,Atbara Airport,17.70972222,34.05722222
ATC,Arthur's Town Airport,24.62944444,-75.67388889
ATE,Antlers Municipal,34.1925,-95.64972222
ATH,Eleftherios Venizelos International,37.93666667,23.94444444
ATI,Artigas International,-30.40083333,-56.50777778
ATK,Atqasuk Edward Burnell Sr. Memorial,70.46722222,-157.4355556
ATL,Hartsfield-Jackson Atlanta International,33.63666667,-84.42777778
ATM,Altamira Airport,-3.25305556,-52.25388889
ATN,Namatanai Airport,-3.66972222,152.4380556
ATO,Ohio University Snyder Field,39.21194444,-82.22916667
ATP,Aitape Airport,-3.1425,142.3466667
ATQ,Amritsar Airport,31.71138889,74.79638889
ATR,Atar Airport,20.50666667,-13.04305556
ATS,Artesia Municipal,32.85166667,-104.4672222
ATT,Atmautluak Airport,60.86777778,-162.2741667
ATU,Casco Cove CGS,52.8325,173.1755556
ATV,Ati Airport,13.23972222,18.31555556
ATW,Outagamie County Regional,44.25805556,-88.51916667
ATY,Watertown Regional,44.91388889,-97.15472222
ATZ,Assiut Airport,27.04638889,31.07861111
AUA,Reina Beatrix International,12.50138889,-70.01555556
AUC,Santiago Perez,7.06888889,-70.73694444
AUD,Augustus Downs Airport,-18.51555556,139.8786111
AUG,Augusta State,44.32055556,-69.79722222
AUH,Abu Dhabi International,24.44333333,54.65277778
AUK,Alakanuk Airport,62.68305556,-164.7222222
AUM,Austin Municipal,43.66277778,-92.93305556
AUN,Auburn Municipal,38.95472222,-121.0816667
AUO,Auburn University Regional,32.615,-85.43388889
AUP,Aguan Papua N.G.,-9.91666667,149.3333333
AUQ,Hiva Oa/Atuona,-9.76583333,-139.0097222
AUR,Aurillac Airport,44.89111111,2.42194444
AUS,Austin - Bergstrom International,30.19444444,-97.67
AUW,Wausau Downtown,44.92638889,-89.62666667
AUX,Araguaina Airport,-7.22777778,-48.24055556
AUY,Aneityum Airport,-20.24944444,169.7708333
AUZ,Aurora Municipal,41.77194444,-88.47555556
AVB,Aviano AB,46.03111111,12.59638889
AVI,Maximo Gomez,22.02694444,-78.78972222
AVL,Asheville Regional,35.43611111,-82.54194444
AVN,Avignon Caumont,43.90666667,4.90194444
AVO,Avon Park Executive,27.59138889,-81.52888889
AVP,Wilkes Barre Scranton International,41.33833333,-75.72333333
AVV,Avalon Airport,-38.03944444,144.4694444
AVW,Marana Regional,32.40944444,-111.2183333
AVX,Catalina,33.405,-118.4158333
AWA,Lake Awasa,7.06666667,38.49055556
AWK,Wake Island Airfield,19.2825,166.6366667
AWM,West Memphis Municipal,35.135,-90.23444444
AWR,Awar Airport,-4.12416667,144.8702778
AWX,Andrews County,32.33083333,-102.5297222
AWZ,Ahwaz Airport,31.3375,48.76194444
AXA,Clayton J. Lloyd,18.20472222,-63.05388889
AXB,Maxson Airfield,44.31666667,-75.89972222
AXC,Aramac Airport,-22.96333333,145.2516667
AXD,Dimokritos,40.85583333,25.95611111
AXM,El Eden,4.45083333,-75.76666667
AXN,Chandler Field,45.86638889,-95.39472222
AXP,Spring Point Airport,22.44194444,-73.97055556
AXS,Altus/Quartz Mountain Regional,34.69888889,-99.33833333
AXT,Akita Airport,39.61555556,140.2186111
AXU,Axum Airport,14.14694444,38.7725
AXV,Neil Armstrong,40.49361111,-84.29805556
AXX,Angel Fire,36.42194444,-105.29
AYL,Anthony Lagoon Airport,-18.01666667,135.55
AYP,Coronel FAP Alfredo Mendivil Duarte,-13.15472222,-74.20444444
AYQ,Ayers Rock Connellan,-25.18611111,130.9755556
AYR,Ayr Airport,-19.59666667,147.325
AYS,Waycross-Ware County,31.24833333,-82.39527778
AYT,Antalya Airport,36.89861111,30.80055556
AYW,Ayawasi Airport,-1.15972222,132.4633333
AZ1,Valle,35.65055556,-112.1480556
AZ2,H. A. Clark Memorial Field,35.30555556,-112.1944444
AZ3,Glendale Municipal,33.52694444,-112.2952778
AZA,Phoenix - Mesa Gateway,33.30777778,-111.6555556
AZD,Shahid Sadooghi,31.905,54.27638889
AZG,Pablo L. Sidar,19.09361111,-102.3936111
AZO,Kalamazoo/Battle Creek International,42.23444444,-85.55166667
AZS,El Catey International,19.26944444,-69.73694444
B19,Biddeford Municipal,43.46416667,-70.4725
B21,Sugarloaf Regional,45.08555556,-70.21638889
BAA,Bialla Airport,-5.33055556,151.0080556
BAB,Beale AFB,39.13611111,-121.4366667
BAC,Barranca de Upia Airport,4.56916667,-72.96722222
BAD,Barksdale AFB,32.50194444,-93.6625
BAE,Barcelonnette Airport,44.38333333,6.63333333
BAF,Westfield Barnes Regional,42.15805556,-72.71583333
BAG,Baguio Airport,16.375,120.6188889
BAH,Bahrain International,26.26805556,50.63694444
BAI,Buenos Aires Airport,9.16361111,-83.33
GYD,Heydar Aliyev International,40.47222222,50.04944444
BAL,Batman Airport,37.92888889,41.11666667
BAM,Battle Mountain Airport,40.59916667,-116.8744444
BAO,Udorn AB,17.38305556,102.8
BAQ,Ernesto Cortissoz,10.88944444,-74.78055556
BAR,Baker AAF,55.36666667,-133.6
BAT,Barth Airport,54.33888889,12.71138889
BAU,Bauru-Arealva,-22.16111111,-49.07
BAV,Baotou Airport,40.55944444,109.9983333
BAX,Barnaul Airport,53.36333333,83.53972222
BAY,Baia Mare Airport,47.65833333,23.46611111
BBA,Balmaceda Airport,-45.91611111,-71.68944444
BBC,Bay City Municipal,28.97333333,-95.86333333
BBF,N Eng Heliport,42.50833333,-71.18333333
BBI,Bhubaneswar Airport,20.24444444,85.81777778
BBO,Berbera International,10.38916667,44.94138889
BBQ,Cocoa Point,17.55555556,-61.765
BBR,Baillif,16.01361111,-61.74305556
BBS,Blackbushe Airport,51.32388889,-0.8475
BBT,Berberati Airport,4.22166667,15.78638889
BBU,Baneasa Aurel Vlaicu,44.50333333,26.10277778
BBX,Wings Field,40.1375,-75.26527778
BBY,Bambari Airport,5.84694444,20.64972222
BBZ,Zambezi Airport,-13.5375,23.10777778
BCA,Gustavo Rizo,20.36527778,-74.50611111
BCB,Virginia Tech/Montgomery Executive,37.20777778,-80.40777778
BCC,Bear Creek Airport,57.6175,-155.8672222
BCD,Bacolod Airport,10.6425,122.9297222
BCE,Bryce Canyon Airport,37.70638889,-112.1458333
BCH,Cakung,-8.48555556,126.3994444
BCI,Barcaldine Airport,-23.56527778,145.3066667
BCJ,Baca Grande,37.96666667,-105.7666667
BCL,Barra del Colorado Airport,10.76861111,-83.58555556
BCM,Bacau Airport,46.52194444,26.91027778
BCN,Barcelona-El Prat,41.29694444,2.07833333
BCS,Southern Seaplane,29.86611111,-90.02222222
BCT,Boca Raton Public,26.37083333,-80.10833333
BCY,Bulchi Airport,6.29222222,36.88722222
BDA,L. F. Wade International,32.36416667,-64.67861111
BDB,Bundaberg Airport,-24.90388889,152.3186111
BDE,Baudette International,48.72833333,-94.61222222
BDG,Blanding Municipal,37.58333333,-109.4833333
BDH,Bandar Lengeh Airport,26.53222222,54.82472222
BDI,Bird Island Airport,-3.72416667,55.20555556
BDJ,Syamsudin Noor,-3.44222222,114.7627778
BDK,Bondoukou/Soko,8.0175,-2.76222222
BDL,Bradley International,41.93916667,-72.68333333
BDM,Bandirma Airport,40.31805556,27.97777778
BDN,Talhar,24.84194444,68.83833333
BDO,Husein Sastranegara,-6.90194444,107.575
BDP,Chandragadhi,26.57083333,88.07888889
BDQ,Vadodara Airport,22.33611111,73.22638889
BDR,Igor I Sikorsky Memorial,41.16333333,-73.12611111
BDS,Casale,40.65833333,17.94694444
BDU,Bardufoss Airport,69.05583333,18.53888889
BDY,Bandon State,43.08638889,-124.4077778
BEB,Benbecula Airport,57.48055556,-7.36388889
BED,Laurence G Hanscom Field,42.47,-71.28888889
BEF,Bluefields Airport,11.99083333,-83.77416667
BEG,Beograd,44.81833333,20.30916667
BEH,Southwest Michigan Regional,42.12861111,-86.42611111
BEI,Beica Airport,9.39138889,34.51944444
BEL,Val de Cans International,-1.37916667,-48.47638889
BEN,Benina International,32.09694444,20.26944444
BEO,Aeropelican,-33.06611111,151.6480556
BER,Berlin Metropolitan Area,52.51166667,13.40138889
BES,Brest Bretagne,48.44777778,-4.41861111
BET,Bethel Airport,60.77861111,-161.8372222
BEU,Bedourie North,-24.23,139.445
BEV,Teyman,31.28666667,34.72305556
BEW,Beira Airport,-19.79638889,34.90777778
BEY,Rafic Hariri International,33.81805556,35.48388889
BFB,Blue Fox Bay Airport,58.18333333,-152.1333333
BFD,Bradford Regional,41.80305556,-78.64
BFF,Western Neb. Regional/William B. Heilig Field,41.87416667,-103.5955556
BFI,Boeing Field/King County International,47.53,-122.3019444
BFK,Buckley AFB,39.70166667,-104.7516667
BFL,Meadows Field,35.43388889,-119.0577778
BFM,Mobile Downtown,30.62666667,-88.06805556
BFN,Bram Fischer International,-29.09277778,26.3025
BFO,Buffalo Range Airport,-21.00805556,31.57861111
BFP,Beaver County,40.7725,-80.39138889
BFQ,Bahia de Pinas Airport,7.58333333,-78.2
BFR,Virgil I Grissom Municipal,38.84,-86.44527778
BFS,Belfast Aldergrove,54.6575,-6.21583333
BFT,Beaufort County,32.41222222,-80.63444444
BGA,Palonegro,7.12666667,-73.18472222
BGB,Booue Airport,-0.1075,11.94361111
BGD,Hutchinson County,35.70083333,-101.3936111
BGE,Decatur County Industrial Air Park,30.97166667,-84.63694444
BGF,Bangui-M'Poko,4.39944444,18.51944444
BGI,Grantley Adams International,13.07472222,-59.49222222
BGL,Baglung Airport,28.21277778,83.66638889
BGM,Greater Binghamton/Edwin A. Link Field,42.20833333,-75.97972222
BGN,Bruggen Airport,51.19972222,6.13222222
BGO,Flesland,60.29333333,5.21805556
